scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,all,all,400,200,200,False,-3.60465545,calibration,0.5371,0.483584,0.598959,0.512207,0.0,0.005,0.035,0.855,0.88,0.945,0.535,0.535,0.5,0.536082,0.52,0.527919,0.070032,0.0742,0.315155,0.220627,3.496659,39.023224,,,,,
finetuning,loss,gender,G0,200,100,100,False,-4.03911331,calibration,0.5137,0.421144,0.580982,0.50498,0.01,0.01,0.02,0.88,0.89,0.92,0.505,0.505,0.5,0.50303,0.83,0.626415,0.013159,0.0274,0.327286,0.251055,3.473697,39.062328,,,,,
finetuning,loss,gender,G1,200,100,100,False,-3.65317701,calibration,0.5647,0.466093,0.637931,0.534262,0.0,0.0,0.04,0.81,0.83,0.94,0.54,0.54,0.5,0.536364,0.59,0.561905,0.080403,0.1294,0.301658,0.250955,3.519621,38.98412,,,,,
finetuning,loss,language,ar,100,50,50,False,-1.91543005,calibration,0.5772,0.467676,0.712919,0.546383,0.0,0.0,0.06,0.8,0.84,0.94,0.5,0.5,0.5,0.5,0.14,0.21875,0.0,0.1544,0.296027,0.232323,3.331033,39.293856,,,,,
finetuning,loss,language,en,100,50,50,False,-3.96613695,calibration,0.5712,0.4544,0.688312,0.549294,0.02,0.02,0.04,0.78,0.8,0.94,0.57,0.57,0.5,0.547945,0.8,0.650407,0.157672,0.1424,0.299057,0.222424,3.710454,44.794384,,,,,
finetuning,loss,language,es,100,50,50,False,-3.07859559,calibration,0.4916,0.38317,0.575594,0.512148,0.0,0.0,0.0,0.92,0.96,0.98,0.55,0.55,0.5,0.647059,0.22,0.328358,0.133109,-0.0168,0.339259,0.291919,3.481636,35.510129,,,,,
finetuning,loss,language,pt,100,50,50,False,-3.58945588,calibration,0.5156,0.400387,0.658863,0.492086,0.0,0.0,0.02,0.88,0.96,0.98,0.53,0.53,0.5,0.529412,0.54,0.534653,0.060012,0.0312,0.327138,0.232525,3.463512,36.494527,,,,,
finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finetuning,loss,variety,canada,20,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
